State,LONGITUDE,LATITUDE
Andaman Nicobar,93,11
Andhra Pradesh,80,16
Arunachal Pradesh,95,28
Assam,93,26
Bihar,85,25
Chandigarh,77,31
Chhattisgarh,82,21
Dadra Nagar Haveli and Daman Diu,73,20
Delhi,77,29
Goa,74,15
Gujarat,71,22
Haryana,76,29
Himachal Pradesh,77,31
Jammu and Kashmir,75,33
Jharkhand,85,24
Karnataka,76,15
Kerala,76,11
Ladakh,78,34
Lakshadweep,73,10
Madhya Pradesh,79,23
Maharashtra,76,20
Manipur,94,25
Meghalaya,91,25
Mizoram,93,23
Nagaland,95,26
Odisha,85,21
Puducherry,80,12
Punjab,75,31
Rajasthan,74,27
Sikkim,89,28
Tamil Nadu,79,11
Telangana,79,18
Tripura,92,24
Uttar Pradesh,81,27
Uttarakhand,79,30
West Bengal,88,23
